wodbus_entrytimestamp,qb50p1_v2_wod_bus_id,rawframe_id,rxtime,id_software,id_satellite,id_packet,opmode,bootcounter,packetcounter,cmdcounter_rx,cmdcounter_valid,uptime,wodbus_entrytime,wodbus_entrynumber,wodbus_validitybits_1,wodbus_validitybits_2,wodbus_validitybits_3,wodbus_valid_panel_0,wodbus_valid_panel_1,wodbus_valid_panel_2,wodbus_valid_panel_3,wodbus_valid_panel_4,wodbus_valid_trxuv_tlm,wodbus_valid_trxuv_state,wodbus_valid_eps,wodbus_valid_ants_state_a,wodbus_valid_ants_state_b,wodbus_valid_ants_temp_a,wodbus_valid_ants_temp_b,wodbus_valid_adcs_pwrtemp,wodbus_valid_adcs_state,wodbus_valid_adcs_meas_calibrated,wodbus_valid_adcs_meas_raw,wodbus_valid_obcsupervisor,wodbus_valid_obcepoch,wodbus_valid_obcrtcworking,wodbus_valid_adcs_actcmds,wodbus_valid_qarman_tcs,wodbus_valid_suthermocouple,wodbus_panels_temp_xp,wodbus_panels_temp_xm,wodbus_panels_temp_yp,wodbus_panels_temp_ym,wodbus_panels_temp_zm,wodbus_trxuv_rxdoppler,wodbus_trxuv_rxrssi,wodbus_trxuv_txreflpower,wodbus_trxuv_txfwdpower,wodbus_trxuv_txcurrent,wodbus_trxuv_rxcurrent,wodbus_trxuv_patemp,wodbus_trxuv_busvolt,wodbus_trxuv_tx_mode,wodbus_trxuv_tx_bitrate,wodbus_truxv_tx_dltype,wodbus_truxv_tx_beacon,wodbus_truxv_tx_idlemode,wodbus_ants_a_status,wodbus_ants_a_status_armed,wodbus_ants_a_status_ant4deploying,wodbus_ants_a_status_ant4timeout,wodbus_ants_a_status_ant4undeployed,wodbus_ants_a_status_ant3deploying,wodbus_ants_a_status_ant3timeout,wodbus_ants_a_status_ant3undeployed,wodbus_ants_a_status_ignoreflag,wodbus_ants_a_status_ant2deploying,wodbus_ants_a_status_ant2timeout,wodbus_ants_a_status_ant2undeployed,wodbus_ants_a_status_ant1deploying,wodbus_ants_a_status_ant1timeout,wodbus_ants_a_status_ant1undeployed,wodbus_ants_a_temp,wodbus_ants_b_status,wodbus_ants_b_status_armed,wodbus_ants_b_status_ant4deploying,wodbus_ants_b_status_ant4timeout,wodbus_ants_b_status_ant4undeployed,wodbus_ants_b_status_ant3deploying,wodbus_ants_b_status_ant3timeout,wodbus_ants_b_status_ant3undeployed,wodbus_ants_b_status_ignoreflag,wodbus_ants_b_status_ant2deploying,wodbus_ants_b_status_ant2timeout,wodbus_ants_b_status_ant2undeployed,wodbus_ants_b_status_ant1deploying,wodbus_ants_b_status_ant1timeout,wodbus_ants_b_status_ant1undeployed,wodbus_ants_b_temp,wodbus_hksup_spicommandstatus,wodbus_hksup_enable_status,wodbus_hksup_enable_status_powerobc,wodbus_hksup_enable_status_powerrtc,wodbus_hksup_enable_status_isinsupervisormode,wodbus_hksup_enable_status_busyrtc,wodbus_hksup_enable_status_poweroffrtc,wodbus_obcsup_sup_uptime,wodbus_obcsup_iobc_uptime,wodbus_obcsup_iobc_resetcount,wodbus_obcsup_temp,wodbus_obcsup_3v3in,wodbus_obcsup_3v3,wodbus_obcsup_ref2v5,wodbus_obcsup_1v8,wodbus_obcsup_1v0,wodbus_obcsup_curr3v3,wodbus_obcsup_curr1v8,wodbus_obcsup_curr1v0,wodbus_obcsup_vrtc,wodbus_obcsup_adc_updateflag,wodbus_obcsup_crc8,wodbus_hkobc_safeflag_lasttrg,wodbus_hkobc_safeflag_uptime,wodbus_hkobc_obc_epoch,wodbus_hkobc_adcsmode,wodbus_hkobc_dboard_switches,wodbus_hkobc_dboard_switch3v3,wodbus_hkobc_dboard_switch5v,wodbus_hkobc_dboard_switchbatv,wodbus_hkobc_bootcounter,wodbus_hkobc_uptime,wodbus_hkobc_opmode,wodbus_qarman_tc1_ocfault,wodbus_qarman_tc1_scgfault,wodbus_qarman_tc1_scvfault,wodbus_qarman_tc1_tempint_neg,wodbus_qarman_tc1_tempint,wodbus_qarman_tc1_fault,wodbus_qarman_tc1_temptc_neg,wodbus_qarman_tc1_temptc,wodbus_qarman_tc2_ocfault,wodbus_qarman_tc2_scgfault,wodbus_qarman_tc2_scvfault,wodbus_qarman_tc2_tempint_neg,wodbus_qarman_tc2_tempint,wodbus_qarman_tc2_fault,wodbus_qarman_tc2_temptc_neg,wodbus_qarman_tc2_temptc,wodbus_qarman_tc3_ocfault,wodbus_qarman_tc3_scgfault,wodbus_qarman_tc3_scvfault,wodbus_qarman_tc3_tempint_neg,wodbus_qarman_tc3_tempint,wodbus_qarman_tc3_fault,wodbus_qarman_tc3_temptc_neg,wodbus_qarman_tc3_temptc,wodbus_suthermocouple,qb50p1_v2_wod_eps_id,rawframe_id,rxtime,id_software,id_satellite,id_packet,opmode,bootcounter,packetcounter,cmdcounter_rx,cmdcounter_valid,uptime,wodeps_entrytime,wodeps_entrynumber,wodeps_validitybits_1,wodeps_validitybits_2,wodeps_validitybits_3,wodeps_valid_panel_0,wodeps_valid_panel_1,wodeps_valid_panel_2,wodeps_valid_panel_3,wodeps_valid_panel_4,wodeps_valid_trxuv_tlm,wodeps_valid_trxuv_state,wodeps_valid_eps,wodeps_valid_ants_state_a,wodeps_valid_ants_state_b,wodeps_valid_ants_temp_a,wodeps_valid_ants_temp_b,wodeps_valid_adcs_pwrtemp,wodeps_valid_adcs_state,wodeps_valid_adcs_meas_calibrated,wodeps_valid_adcs_meas_raw,wodeps_valid_obcsupervisor,wodeps_valid_obcepoch,wodeps_valid_obcrtcworking,wodeps_valid_adcs_actcmds,wodeps_valid_qarman_tcs,wodeps_valid_suthermocouple,wodeps_vboost1,wodeps_vboost2,wodeps_vboost3,wodeps_vbatt,wodeps_curin1,wodeps_curin2,wodeps_curin3,wodeps_cursun,wodeps_cursys,wodeps_curch_1,wodeps_curch_2,wodeps_curch_3,wodeps_curch_4,wodeps_curch_5,wodeps_curch_6,wodeps_output_1,wodeps_output_2,wodeps_output_3,wodeps_output_4,wodeps_output_5,wodeps_output_6,wodeps_output_7,wodeps_output_8,wodeps_output_on_delta_1,wodeps_output_on_delta_2,wodeps_output_on_delta_3,wodeps_output_on_delta_4,wodeps_output_on_delta_5,wodeps_output_on_delta_6,wodeps_output_on_delta_7,wodeps_output_on_delta_8,wodeps_output_off_delta_1,wodeps_output_off_delta_2,wodeps_output_off_delta_3,wodeps_output_off_delta_4,wodeps_output_off_delta_5,wodeps_output_off_delta_6,wodeps_output_off_delta_7,wodeps_output_off_delta_8,wodeps_latchup_1,wodeps_latchup_2,wodeps_latchup_3,wodeps_latchup_4,wodeps_latchup_5,wodeps_latchup_6,wodeps_wdt_i2c_time_left,wodeps_wdt_gnd_time_left,wodeps_wdt_csp_ping1_left,wodeps_wdt_csp_ping2_left,wodeps_counter_wdt_i2c,wodeps_counter_wdt_gnd,wodeps_counter_wdt_csp1,wodeps_counter_wdt_csp2,wodeps_counter_boot,wodeps_temp1,wodeps_temp2,wodeps_temp3,wodeps_temp4,wodeps_temp_batt0,wodeps_temp_batt1,wodeps_bootcause,wodeps_battmode,wodeps_pptmode
1999-12-31 23:00:41,3459,301805,2015-05-07 09:14:41,QB50pV2,QB50p1,WOD Bus,Nominal,1786,2373,71,48,10147,946684841,900621,255,15,55,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,true,7.2421875,8.9921875,0.9921875,17.4921875,9.7421875,406,389,9.848951,17.4231,78.2258052,115.80622,13.0518,8.177403,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,15.6222,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,13.869,7,7,true,true,true,false,false,41,41,0,17.5266,3343.108482,3323.55814,2500.0000344,1801.0752936,1004.3988408,94.0420406,40.4447576,57.306935,3338.2208965,255,218,None,0,946684841,Detumble + MEMS,0,false,false,false,1681,8,Nominal,false,false,false,false,13.625,false,false,17.5,false,false,false,false,13.625,false,false,17.5,false,false,false,false,13.625,false,false,17.0,-273.0,2161,301806,2015-05-07 09:14:42,QB50pV2,QB50p1,WOD EPS,Nominal,1786,2374,71,48,10148,946684841,900621,255,15,55,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,true,342,406,351,8213,0,41,3,6,329,65,4,3,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7160,5,5,261,989,0,0,127484,13,12,11,10,0,0,4,Normal,MPPT
1999-12-31 23:02:40,1066,260738,2015-04-09 09:20:39,QB50pV2,QB50p1,WOD Bus,Nominal,1258,2389,52,27,9969,946684960,685165,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-6.7578125,-5.7578125,-8.0078125,-3.2578125,-8.7578125,354,407,17.943164,41.360384,78.2258052,115.64493,6.542,8.096758,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-2.7864,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-3.663,7,7,true,true,true,false,false,160,160,0,13.1436,3338.2208965,3323.55814,2500.0000344,1801.0752936,1004.3988408,88.8367616,40.2003784,57.306935,3338.2208965,255,237,None,0,946684960,Detumble + MEMS,0,false,false,false,1187,127,Nominal,false,false,false,false,8.9375,false,false,12.75,false,false,false,false,9.0,false,false,11.25,false,false,false,false,9.0625,false,false,11.25,-273.0,1012,260739,2015-04-09 09:20:40,QB50pV2,QB50p1,WOD EPS,Nominal,1258,2390,52,27,9970,946684960,685165,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,323,323,323,8131,0,41,3,6,341,31,4,5,82,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7044,5,5,261,961,0,0,127456,6,5,6,6,0,0,4,Normal,MPPT
1999-12-31 23:04:50,1116,260946,2015-04-09 09:23:06,QB50pV2,QB50p1,WOD Bus,Nominal,1258,2597,62,29,10115,946685090,703164,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-11.2578125,-7.5078125,-14.7578125,-0.5078125,-4.5078125,403,382,5.449439,39.008624,78.4946224,113.87074,-6.7735,8.22579,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-6.8772,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-8.046,7,7,true,true,true,false,false,290,290,0,-2.6352,3338.2208965,3328.4457255,2500.0000344,1798.6315008,1004.3988408,87.4486872,39.5894304,56.6519986,3338.2208965,255,142,None,0,946685090,Detumble + MEMS,0,false,false,false,1243,257,Nominal,false,false,false,true,-7.6875,false,true,-3.75,false,false,false,true,-7.75,false,true,-3.5,false,false,false,true,-7.625,false,true,-4.0,-273.0,1062,260947,2015-04-09 09:23:06,QB50pV2,QB50p1,WOD EPS,Nominal,1258,2598,62,29,10116,946685090,703164,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2949,2953,3033,8251,172,763,358,428,329,6,4,7,72,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6921,5,5,261,964,0,0,127459,-5,-7,-6,-8,0,0,4,Normal,MPPT
1999-12-31 23:08:00,3877,321138,2015-05-18 10:01:33,QB50pV2,QB50p1,WOD Bus,Nominal,1977,17700,157,144,88042,946685280,999500,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-5.5078125,-8.0078125,-12.7578125,-6.0078125,-4.2578125,401,394,12.315431,53.924375,79.8387084,114.5159,-6.1817,8.209661,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5.124,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5.124,7,7,true,true,true,false,false,480,480,0,-1.7586,3338.2208965,3323.55814,2500.0000344,1798.6315008,1004.3988408,86.4076314,39.8338096,52.394912,3338.2208965,255,238,None,0,946685280,Detumble + MEMS,0,false,false,false,1869,447,Nominal,false,false,false,true,-6.5625,false,true,-2.5,false,false,false,true,-6.625,false,true,-3.0,false,false,false,true,-6.5625,false,true,-3.25,-273.0,2574,321139,2015-05-18 10:01:33,QB50pV2,QB50p1,WOD EPS,Nominal,1977,17701,157,144,88043,946685280,999500,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3656,3660,3664,8251,11,552,308,358,316,6,4,5,67,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6739,5,5,261,999,0,0,127494,-5,-6,-6,-7,0,0,4,Normal,MPPT
1999-12-31 23:09:20,1118,260954,2015-04-09 09:23:10,QB50pV2,QB50p1,WOD Bus,Nominal,1258,2605,62,29,10120,946685360,703884,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,11.7421875,11.4921875,2.2421875,9.4921875,18.2421875,410,408,14.112711,52.123271,81.4516116,115.32235,10.9805,8.241919,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,15.33,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,15.0378,7,7,true,true,true,false,false,560,560,0,13.4358,3338.2208965,3323.55814,2500.0000344,1801.0752936,1006.8426336,89.1837802,40.2003784,57.6344032,3338.2208965,255,18,None,0,946685360,Detumble + MEMS,0,false,false,false,1257,527,Nominal,false,false,false,false,9.75,false,false,13.5,false,false,false,false,9.75,false,false,12.75,false,false,false,false,9.75,false,false,12.5,-273.0,1064,260955,2015-04-09 09:23:10,QB50pV2,QB50p1,WOD EPS,Nominal,1258,2606,62,29,10120,946685360,703884,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3219,3352,3366,8270,53,214,552,304,316,6,4,5,82,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6657,5,5,261,965,0,0,127460,9,8,8,6,0,0,4,Normal,MPPT
1999-12-31 23:11:20,3629,303822,2015-05-08 09:26:25,QB50pV2,QB50p1,WOD Bus,Nominal,1787,16565,31,20,81288,946685480,943073,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.2421875,9.7421875,-1.7578125,14.4921875,9.7421875,405,393,5.3775,36.725696,78.4946224,114.83848,5.6543,8.241919,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9.1938,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7.4406,7,7,true,true,true,false,false,680,680,0,5.8386,3338.2208965,3328.4457255,2500.0000344,1798.6315008,1004.3988408,87.1016686,39.8338096,52.8861143,3338.2208965,255,193,None,0,946685480,Detumble + MEMS,0,false,false,false,1773,647,Nominal,false,false,false,false,1.75,false,false,5.75,false,false,false,false,1.75,false,false,6.0,false,false,false,false,1.875,false,false,5.5,-273.0,2324,303823,2015-05-08 09:26:26,QB50pV2,QB50p1,WOD EPS,Nominal,1787,16566,31,20,81289,946685480,943073,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3209,3213,3217,8270,464,296,164,334,316,6,4,3,75,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6545,5,5,261,994,0,0,127489,3,1,0,-2,0,0,4,Normal,MPPT
1999-12-31 23:16:10,4076,331916,2015-05-25 08:25:06,QB50pV2,QB50p1,WOD Bus,Nominal,2078,7445,21,14,36677,946685770,1061025,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-17.5078125,-16.5078125,-19.2578125,-21.0078125,-15.7578125,403,396,15.298151,47.115504,79.0322568,115.48364,-8.8448,8.080629,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-17.3964,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-17.1042,7,7,true,true,true,false,false,970,970,0,-1.7586,3338.2208965,3328.4457255,2500.0000344,1798.6315008,1004.3988408,87.1016686,39.5894304,52.394912,3338.2208965,255,91,None,0,946685770,Detumble + MEMS,0,false,false,false,2027,937,Nominal,false,false,false,true,-6.5625,false,true,-2.5,false,false,false,true,-6.5,false,true,-3.75,false,false,false,true,-6.4375,false,true,-4.0,-273.0,2770,331917,2015-05-25 08:25:08,QB50pV2,QB50p1,WOD EPS,Nominal,2078,7446,21,14,36678,946685770,1061025,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,611,4748,4905,8121,0,169,425,334,329,6,4,3,75,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6266,5,5,261,1008,0,0,127503,-8,-10,-7,-8,0,0,4,Normal,MPPT
1999-12-31 23:17:20,1166,262574,2015-04-10 08:00:36,QB50pV2,QB50p1,WOD Bus,Nominal,1275,8955,22,15,44265,946685840,714627,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-14.7578125,-11.7578125,-17.5078125,-19.2578125,-16.7578125,401,391,14.112711,55.525436,81.1827944,115.64493,-10.3243,8.112887,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-14.4744,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-15.0588,7,7,true,true,true,false,false,1040,1040,0,-4.0962,3338.2208965,3323.55814,2500.0000344,1798.6315008,1004.3988408,86.75465,39.9559992,52.0674438,3338.2208965,255,108,None,0,946685840,Detumble + MEMS,0,false,false,false,1275,1007,Nominal,false,false,false,true,-9.0,false,true,-5.0,false,false,false,true,-9.0,false,true,-6.0,false,false,false,true,-8.9375,false,true,-6.25,-273.0,1112,262575,2015-04-10 08:00:38,QB50pV2,QB50p1,WOD EPS,Nominal,1275,8956,22,15,44265,946685840,714627,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,4315,3790,4785,8131,461,52,152,340,329,6,4,5,79,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,5,5,261,966,0,0,127461,-10,-11,-9,-10,0,0,4,Normal,MPPT
1999-12-31 23:17:45,652,223112,2015-03-12 10:57:04,QB50pV2,QB50p1,WOD Bus,Nominal,862,28335,159,149,141642,946685865,437946,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-4.2578125,-4.5078125,-0.7578125,-0.2578125,-21.0078125,389,389,9.56E-4,9.56E-4,0.0,48.387,-1.1514,8.193532,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-13.89,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-14.4744,7,7,true,true,true,false,false,1063,1063,0,1.1634,3338.2208965,3323.55814,2500.0000344,1798.6315008,1004.3988408,86.75465,39.71162,52.394912,3338.2208965,255,32,None,0,946685864,Detumble + MEMS,0,false,false,false,842,1031,Nominal,false,false,false,true,-3.6875,false,false,0.25,false,false,false,true,-3.75,false,true,-0.25,false,false,false,true,-3.6875,false,true,-0.5,-273.0,623,223113,2015-03-12 10:57:06,QB50pV2,QB50p1,WOD EPS,Nominal,862,28336,159,149,141643,946685865,437946,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,4109,3102,4775,8232,24,193,490,346,267,157,4,7,79,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6176,5,5,261,941,0,0,127436,-4,-5,-4,-6,0,0,4,Normal,MPPT
1999-12-31 23:18:00,1668,292791,2015-04-30 09:11:32,QB50pV2,QB50p1,WOD Bus,Nominal,1644,16063,7,6,80231,946685880,862695,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-19.2578125,-19.5078125,-19.2578125,-18.2578125,-23.0078125,406,384,19.276784,52.346736,84.9462352,119.03202,-5.8858,7.951597,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-16.812,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-17.3964,7,7,true,true,true,false,false,1080,1080,0,0.8712,3338.2208965,3323.55814,2500.0000344,1798.6315008,1004.3988408,86.4076314,39.8338096,52.5586461,3338.2208965,255,219,None,0,946685880,Detumble + MEMS,0,false,false,false,1622,1047,Nominal,false,false,false,true,-3.6875,false,false,0.25,false,false,false,true,-3.6875,false,true,-1.0,false,false,false,true,-3.625,false,true,-1.25,-273.0,1438,292792,2015-04-30 09:11:33,QB50pV2,QB50p1,WOD EPS,Nominal,1644,16064,7,6,80232,946685880,862695,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,323,314,323,7992,0,41,3,12,329,6,4,3,75,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6157,5,5,261,986,0,0,127481,-6,-7,-5,-6,0,0,4,Normal,MPPT
1999-12-31 23:18:05,653,223115,2015-03-12 10:57:13,QB50pV2,QB50p1,WOD Bus,Nominal,862,28343,159,149,141650,946685885,437948,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-3.7578125,-4.0078125,-0.2578125,0.2421875,-21.0078125,371,402,9.56E-4,9.56E-4,0.0,48.387,-1.1514,8.241919,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-13.5978,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-14.1822,7,7,true,true,true,false,false,1083,1083,0,1.1634,3338.2208965,3323.55814,2500.0000344,1798.6315008,1004.3988408,86.75465,39.71162,52.5586461,3338.2208965,255,40,None,0,946685884,Detumble + MEMS,0,false,false,false,842,1051,Nominal,false,false,false,true,-3.625,false,false,0.25,false,false,false,true,-3.625,false,false,0.0,false,false,false,true,-3.5625,false,true,-0.5,-273.0,624,223116,2015-03-12 10:57:14,QB50pV2,QB50p1,WOD EPS,Nominal,862,28344,159,149,141652,946685885,437948,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3738,3381,4655,8304,8,966,326,534,205,58,4,7,72,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6157,5,5,261,941,0,0,127436,-4,-5,-4,-6,0,0,4,Normal,MPPT
1999-12-31 23:18:19,3764,311360,2015-05-12 10:16:47,QB50pV2,QB50p1,WOD Bus,Nominal,1848,13727,153,86,66109,946685899,986324,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.7421875,-0.5078125,4.4921875,-5.5078125,3.2421875,406,384,8.091584,20.517911,77.956988,114.83848,-1.7432,8.177403,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.4278,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1.3044,7,7,true,true,true,false,false,1100,1100,0,2.04,3338.2208965,3323.55814,2500.0000344,1798.6315008,1004.3988408,87.7957058,39.71162,56.8157327,3338.2208965,255,203,None,0,946685899,Detumble + MEMS,0,false,false,false,1847,1067,Nominal,false,false,false,true,-3.0625,false,false,0.75,false,false,false,true,-3.1875,false,false,0.0,false,false,false,true,-3.125,false,true,-0.25,-273.0,2464,311361,2015-05-12 10:16:47,QB50pV2,QB50p1,WOD EPS,Nominal,1848,13728,153,86,66109,946685899,986324,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3719,4504,4553,8213,50,137,532,370,399,135,4,5,77,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144,5,5,261,998,0,0,127493,-3,-4,-3,-5,0,0,4,Normal,MPPT
1999-12-31 23:18:24,654,223117,2015-03-12 10:57:21,QB50pV2,QB50p1,WOD Bus,Nominal,862,28351,159,149,141659,946685904,437950,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-3.5078125,-3.7578125,0.2421875,0.7421875,-20.5078125,331,427,9.56E-4,9.56E-4,0.0,49.03216,-0.8555,8.209661,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-13.3056,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-13.89,7,7,true,true,true,false,false,1103,1103,0,1.4556,3338.2208965,3328.4457255,2500.0000344,1798.6315008,1004.3988408,86.4076314,39.5894304,52.394912,3338.2208965,255,183,None,0,946685904,Detumble + MEMS,0,false,false,false,842,1071,Nominal,false,false,false,true,-3.5,false,false,0.5,false,false,false,true,-3.5625,false,false,0.0,false,false,false,true,-3.5,false,true,-0.25,-273.0,625,223118,2015-03-12 10:57:22,QB50pV2,QB50p1,WOD EPS,Nominal,862,28352,159,149,141661,946685904,437950,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3859,4069,4851,8333,2,884,285,552,172,6,4,7,79,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6137,5,5,261,941,0,0,127436,-4,-5,-4,-5,0,0,4,Normal,MPPT
1999-12-31 23:18:54,657,223123,2015-03-12 10:57:34,QB50pV2,QB50p1,WOD Bus,Nominal,862,28363,159,149,141672,946685934,437953,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,-3.0078125,-3.2578125,0.7421875,1.2421875,-20.2578125,373,397,9.56E-4,9.56E-4,0.0,48.70958,-0.5596,8.129016,Nominal,1200,AX.25,Off,Off,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-13.0134,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-13.5978,7,7,true,true,true,false,false,1133,1133,0,1.4556,3338.2208965,3323.55814,2500.0000344,1798.6315008,1004.3988408,92.6539662,39.5894304,52.7223802,3338.2208965,255,46,None,0,946685934,Detumble + MEMS,0,false,false,false,842,1101,Nominal,false,false,false,true,-3.375,false,false,0.75,false,false,false,true,-3.375,false,false,0.25,false,false,false,true,-3.375,false,true,-0.25,-273.0,626,223124,2015-03-12 10:57:35,QB50pV2,QB50p1,WOD EPS,Nominal,862,28364,159,149,141673,946685934,437953,255,255,63,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3738,2639,4731,8251,17,529,311,334,184,21,4,7,89,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6108,5,5,261,941,0,0,127436,-4,-5,-3,-5,0,0,4,Normal,MPPT
